name|orcid|month_of_birth|year_of_birth|mail
Raju Halder|0000-0002-8873-8258|2|1980|GmOxizb@outlook.it
Hervé Thiriez|7232-8022-5119-1907|1|1970|gysmer@tiscali.it
Sébastien Varrette|6212-8548-0424-1699|1|1981|hDJXCnm@gmail.com
Yang-Sae Moon|0444-0847-2999-8031|11|1945|DxYHDI@gmail.com
William Kokou Dedzoe|8740-6916-6033-0401|2|1983|hMGzie@outlook.it
Thomas Zilio|1405-4052-1967-1792|7|1968|UIhmswI@outlook.it
Santiago Aja-Fernández|3841-2125-8710-9390|5|1987|jSikZxX@outlook.it
Anastasia Analyti|5387-3336-4974-9713|10|1945|usSZTG@mail.polimi.it
Elisa Quintarelli|0000-0001-6092-6831|4|1958|kxscS@tiscali.it
Arndt Kuhlman|3420-0670-8025-9041|11|1970|xsXIW@duck.com
Nils Klimanis|7326-2800-6347-5406|10|1968|FlwqPpo@tiscali.it
Wolfgang Küchlin|0328-5391-0566-0931|10|1988|amOSb@mail.polimi.it
Nezo Ibrahim Fofana|0382-5492-9645-5212|10|1988|qVbMckd@duck.com
Carlos A. Coello Coello|0000-0002-8435-680X|7|1967|pnudOYa@outlook.it
Dou Shen|6656-5163-9528-6656|12|1978|GvAKtNZ@gmail.com
Jordan Gottardo|9347-9001-5222-7291|1|1969|ZZYGI@outlook.it
Mirjana Pavlovic|1079-7691-2349-4175|1|1973|agxpfgy@gmail.com
Boualem Benatallah|3379-9057-0012-9975|6|1967|ekCol@mail.polimi.it
Fabiano Fernandes dos Santos|5485-4196-6269-4623|3|1944|Wzaxqic@gmail.com
Emanuela Barbi|5660-7623-3477-6419|11|1947|RToul@mail.polimi.it
Nathaniel Palmer|3389-3793-4189-5561|4|1951|DEDNp@mail.polimi.it
Laurent d'Orazio|1832-4847-9006-3878|4|1951|kjjjON@duck.com
Xue Iuan Wong|9084-8051-4127-5603|2|1987|rcsBE@mail.polimi.it
Delphine Reinhardt|2824-1904-6834-3773|6|1964|ySepeQ@tiscali.it
Richard Sharp|8206-3233-7397-7276|4|1963|wFzIL@duck.com
Myra Spiliopoulou|6115-9190-4213-8730|1|1953|nTxaUSY@duck.com
Nickolas Zoulis|9952-2217-3873-1917|7|1973|VEzBQA@outlook.it
Sven Tomforde|0699-1965-6597-1804|8|1951|lTlAeoV@duck.com
Jean-Pierre Müller|0106-8627-7951-3900|9|1963|FEdDLG@duck.com
Karl Wiggisser|5208-1807-7830-4290|5|1989|WEQoZtn@tiscali.it
Giuseppe Santucci|5983-5737-7749-7763|11|1972|APEGuH@gmail.com
Shruthi Kashyap|2071-2340-2095-3953|1|1942|IDydz@duck.com
Paola Salomoni|4567-2064-9402-0621|5|1984|HqObu@gmail.com
Alberto Nannarelli|0000-0002-8303-6329|12|1959|yEUad@duck.com
Cheng-Shang Chang|0190-6504-8596-0960|8|1946|SHlJoI@tiscali.it
Gláucia de Oliveira Dias|9089-8252-2480-2168|12|1961|qbtcW@tiscali.it
Nick Craswell|7389-2908-0353-7688|12|1944|zuPrnU@tiscali.it
Marion Vasseur|0187-0977-2965-0748|3|1989|jciqTTC@outlook.it
Cédric Bonhomme|1267-6128-3918-8063|11|1946|IwVwPEN@tiscali.it
Meng Shen|0000-0002-1867-0972|12|1957|RoUuuj@outlook.it
Vassilis J. Tsotras|1967-2717-6609-4223|4|1941|dspHM@outlook.it
Einar Smith|6943-5905-5705-9005|6|1952|XkIPZ@duck.com
Clara Monaco|4717-1346-7092-2958|9|1982|ARMeO@outlook.it
Heike Stach|0844-9746-1648-1618|2|1950|EDBVE@gmail.com
Shili Xiang|0361-5746-8218-8531|3|1975|qWukhw@duck.com
James M. Boyle|2180-5186-1262-6313|4|1974|rDNXo@tiscali.it
Matt Stephens|8087-6862-4315-5240|7|1972|eUYwhW@mail.polimi.it
Michael Mrissa|0000-0002-2330-1004|11|1945|aNLqQ@mail.polimi.it
James G. Nagy|6269-6088-3384-0755|7|1970|AOGPg@tiscali.it
Bodiuzzaman Jony|7292-3679-4469-1307|7|1959|FlFpW@gmail.com
Gabriella Pasi|5606-3875-2292-4226|3|1969|nBxbJGa@mail.polimi.it
Lucile Beaugil|3413-7588-2122-0454|3|1961|GxGLqb@tiscali.it
Agnieszka Dardzinska|0000-0002-2811-0274|12|1955|DOPOd@tiscali.it
Alexandros Karakasidis 0001|5206-7724-5169-9831|7|1962|amoatbF@tiscali.it
Maarten van Steen|7917-9605-6925-7525|3|1963|bvmQMyL@outlook.it
Alain Trouvé|1953-2076-9722-7967|10|1943|pqcgFI@mail.polimi.it
Shih-Hsing Wang|0745-9836-0354-9965|10|1981|MnxMec@mail.polimi.it
Brice Follet|8550-1021-8296-7016|12|1971|WojRAJ@gmail.com
Vijay Mago|0906-4088-5241-3922|4|1946|tFbLKVX@gmail.com
Kenza Kellou-Menouer|4394-6937-3243-5591|12|1973|WsBAbA@outlook.it
Ke-Jia Chen|3850-9421-9567-1710|7|1987|JOqOvuy@gmail.com
P. Pandurang Nayak|9927-6882-9617-5823|6|1989|JEEwF@mail.polimi.it
Asma Ben Letaifa|0000-0002-1527-2557|2|1968|DBtrfXr@gmail.com
Alvaro A. Cárdenas|5047-1099-4740-0825|5|1961|gFSrxfx@gmail.com
Heiko Schuldt|1216-8731-2687-2764|10|1950|HyOYu@gmail.com
Donald Baker|0220-8608-2363-1036|11|1968|ubDviDV@tiscali.it
Siu-Ming Yiu|5817-3797-6312-7967|8|1955|SZpPfV@gmail.com
Laura Montanini|1353-3346-4363-2456|1|1944|ptiVCPn@tiscali.it
Laura Bright|9304-6207-7544-6515|9|1968|GMSAq@mail.polimi.it
Michaela Schicho|1300-4705-5185-0625|11|1958|ixNMh@duck.com
Wilhelm Hasselbring|5596-6851-7013-5431|3|1987|PLptq@gmail.com
Eithan Ephrati|3781-3679-6073-8016|7|1972|NpmHAVf@outlook.it
Philipp L. Rautenberg|9190-0988-7341-3164|1|1969|QMOlc@gmail.com
Fabio Paternò|0000-0001-8355-6909|9|1945|zmEFt@mail.polimi.it
Jacques Saraydaryan|5191-4615-5526-2110|12|1983|dWbDV@outlook.it
Arihant Jain|1337-9162-8854-8866|9|1946|DUbdcG@outlook.it
Paul E. S. Dunne|3064-9330-1143-4203|8|1969|ViJbcs@tiscali.it
Ilham Benyahia|2312-3428-5498-6882|9|1982|QREDXpJ@mail.polimi.it
Takahiro Murata|2042-6469-4118-5604|6|1982|pdNNH@tiscali.it
Wei-Cheng Lai|2931-8199-4429-3074|11|1967|gLMPbt@outlook.it
Salah Merniz|5368-1162-4432-5880|1|1940|VVrZmGa@mail.polimi.it
Thaís Vasconcelos Batista|0000-0003-3558-1450|11|1953|RSNzoHT@tiscali.it
Song Y. Yan|3301-3781-7755-7259|3|1945|SMGpT@outlook.it
Isabelle M. Demeure|1573-2360-4336-4556|8|1958|LaKJNn@outlook.it
Aris Gkoulalas-Divanis|1452-0738-0789-8254|5|1954|iWetk@gmail.com
Agrima Srivastava|9007-4037-0805-3455|3|1951|uaAkvR@tiscali.it
Jacques Wainer|1253-2253-9697-4585|7|1964|LSywaiK@gmail.com
Samuel A. Fricker|4194-5136-4156-7072|1|1943|gCvbBL@mail.polimi.it
Vijay Machiraju|8359-1118-5594-3446|9|1973|FlCeNT@mail.polimi.it
Hieu Nguyen|4091-0205-0854-1334|7|1942|KQMTfL@mail.polimi.it
Sakkaravarthi Ramanathan|3705-6994-5364-4717|8|1962|ZqHjD@tiscali.it
Stefano Ghignone|0000-0002-2033-2286|7|1962|rpQYDD@mail.polimi.it
Danilo Pianini|1707-5040-2599-5849|7|1953|xUaABl@gmail.com
Cédrick Bellissens|5790-2982-3436-8940|10|1981|ZfBqt@duck.com
Simone Angelini|0053-8697-0000-7994|12|1969|VNquj@duck.com
Fu Cheng|1616-6059-3477-0201|3|1967|NEzCK@mail.polimi.it
Joemon M. Jose|0373-1604-5252-6088|5|1981|bpGaN@mail.polimi.it
Chris Conlan|4503-8279-9476-5592|6|1976|LCIFDN@outlook.it
Antonio Pizza|2814-7787-9924-6485|3|1964|YlCujMD@duck.com
Hiroshi Shimizu|4263-9948-0922-9933|8|1966|wQSEi@mail.polimi.it
Vanja Josifovski|1467-1055-7297-0506|9|1940|DvPYAVC@duck.com
Sune S. Nielsen|7128-3095-0497-5295|2|1981|AbEtFRU@outlook.it
Daniel Lowd|3593-6649-7252-3706|6|1956|XvRWHY@duck.com
Germán Montoro|9464-8431-6897-1125|10|1976|eZpUF@tiscali.it
Hans-Jürgen Appelrath|5141-7812-4222-5050|4|1964|kEmBvEg@gmail.com
Alexander V. Smirnov 0001|7576-4401-4069-1131|12|1940|AZNXRT@tiscali.it
Tomasz Ksiezyk|9462-2215-3438-2399|9|1967|bcWPgDu@outlook.it
Antonino Mazzeo|9742-2965-1579-3246|10|1989|SKuRf@outlook.it
Patrick Jeuniaux|0727-2116-0535-3878|5|1967|MGTqa@gmail.com
Bianca Wackersreuther|5322-0956-1594-8929|8|1963|FLSabu@gmail.com
Hilla Atzmon|7500-0364-9232-5466|8|1989|bEeWACw@gmail.com
Menachem Shtalhaim|0560-7554-4399-6263|7|1946|KHvuUF@outlook.it
Peter Knees|7120-6709-3557-4333|6|1984|qpaQWg@outlook.it
Renata Vieira|3576-1241-7895-3992|11|1953|YFYVG@duck.com
Fabienne Boyer|5466-6727-3418-2131|10|1972|IjPoZ@duck.com
James Michaelis|1591-8390-3753-2760|3|1968|BHqSK@tiscali.it
Stasinos Konstantopoulos|0000-0002-2586-1726|4|1982|SrptXzq@mail.polimi.it
Ahmed K. F. Khattab|8748-7269-2329-0664|4|1984|beEwNs@tiscali.it
Michael R. Genesereth|0550-0590-5196-4238|12|1950|UKwHbS@duck.com
Martin Ester|9986-9383-7708-1695|7|1981|wvgUKo@gmail.com
Leticia Hernando|6414-0660-7329-9766|12|1945|zHVFPKn@gmail.com
Klaus-Dieter Gronwald|6800-2253-6367-4134|11|1948|PhCPiAf@gmail.com
Frank Ohlhaver|2200-7169-6352-2558|7|1976|OtGwer@outlook.it
Alexandros Labrinidis|1676-8002-9548-3249|1|1966|vBZbCxc@mail.polimi.it
Marwa Gamal|2737-0478-0139-6463|9|1971|YOhzrJn@duck.com
David Evans 0001|6421-0376-8221-9619|1|1988|lRyTvzy@gmail.com
Andrea De Salve|0000-0003-1691-7182|10|1989|DtAtjR@outlook.it
Farnoush Banaei Kashani|7633-9699-1423-8935|6|1981|NTLLB@outlook.it
Marisol García-Valls|0000-0003-2383-5310|10|1962|odiCIDb@tiscali.it
Safa Hamdoun|7036-1732-3447-4747|1|1988|tWfxfxv@outlook.it
Erich-Peter Klement|9958-1595-2942-6738|11|1957|wDxNxs@tiscali.it
Marlena Kruger|1790-8145-1618-9695|4|1968|FDsoTS@outlook.it
Khady Ba|3361-2743-6903-9900|4|1977|AoQqhL@duck.com
Hervé Costantini|1942-2351-9449-4157|1|1979|xLqVS@gmail.com
Alessia Visconti|0000-0003-4144-2019|2|1980|gnHTC@gmail.com
Bernhard Jaecksch|5698-0364-4728-5219|11|1982|midfJv@gmail.com
Bernhard R. Kämmerer|7306-0139-5530-4937|10|1943|pLseoB@gmail.com
Walid G. Aref|2164-9342-0526-7013|11|1957|mhnRW@gmail.com
Horst Eggert|6437-3721-2872-9589|4|1944|qwgZz@tiscali.it
Abdessamad Imine|3238-9534-4591-5650|5|1986|idbZQP@tiscali.it
Ahmed Serhrouchni|0935-6947-1019-1055|12|1975|ucIbru@tiscali.it
Caroline Lasser|5325-7686-6143-7178|10|1966|qlzfDsR@mail.polimi.it
María Teresa Arredondo|0000-0003-3113-3976|7|1942|AMYhpQ@outlook.it
Michael Dietz|5993-8608-3964-4694|8|1987|brxhj@duck.com
Sertac Karaman|3532-3337-7672-8674|9|1967|TPXtNJ@tiscali.it
Antonina Dattolo|0000-0002-8511-524X|1|1985|wotFj@duck.com
Wenfei Fan|0000-0001-5149-2656|12|1950|boceM@duck.com
Yoshiaki Tsukamoto|0988-9397-8531-8333|5|1979|zbuwiIn@outlook.it
Giovanni Ciatto|0000-0002-1841-8996|10|1984|zWlhk@mail.polimi.it
Yousef J. Al-Houmaily|7028-0460-0259-6074|2|1951|xaLllCW@tiscali.it
Frank Schönthaler|6298-4974-4824-6170|11|1985|wifYe@mail.polimi.it
Theo P. van der Weide|0087-3046-4262-8676|9|1950|LFwxos@mail.polimi.it
Sven Bittner|8471-1154-9531-1660|8|1975|vxcMp@gmail.com
Yingxia Shao|0000-0002-8559-2628|4|1977|skspp@outlook.it
Etienne Gagnon|6066-0458-6627-1337|2|1965|gpJFX@tiscali.it
Peter Matthew|0000-0002-8363-0715|5|1946|qXSqoMS@duck.com
Manolis Vavalis|2562-0788-5032-0189|6|1952|JnjUG@tiscali.it
Stefan Mangold|7474-4112-8083-4283|5|1951|Imtwih@duck.com
Nasir Ghani|9560-3359-2431-7265|10|1976|cTsLYvf@mail.polimi.it
Paul Klint|2462-0020-5203-3994|1|1980|gLHbGXx@duck.com
Manish Soni|6167-3362-7439-5247|7|1983|wreah@tiscali.it
Alex Aved|0000-0002-7015-7359|7|1954|Encnmpl@duck.com
Gergely Ács|5277-0303-5652-4010|11|1979|peMrmV@duck.com
Marcin Relich|0000-0003-1193-432X|8|1983|wNIqg@gmail.com
Alexandre Cervieri|0923-7291-2134-0358|9|1959|RdLximw@mail.polimi.it
Nathalie Cislo|1682-6607-7753-9289|12|1971|WTboR@tiscali.it
Emmanuel Adam|0000-0003-4052-4135|6|1972|ZjNTyoV@tiscali.it
Saïd Tazi 0001|5694-6865-7107-2699|7|1959|hUVdhSv@tiscali.it
Dave R. Lawrence|2720-4672-1775-2780|5|1988|vuMNJc@duck.com
Michal Baczynski 0001|6361-3536-8135-9565|2|1982|BnQdu@duck.com
S. Au|7683-5720-3460-0286|10|1980|yhIJsV@outlook.it
Benedetta Tondi|2472-2471-3287-5185|10|1952|QJjKo@duck.com
Sanjay Kumar Jena|9096-7271-7974-8651|8|1945|ItiTTKI@tiscali.it
Valentina Orrù|8404-4430-8246-8617|8|1969|MhSbku@mail.polimi.it
Anne H. H. Ngu|8400-4343-7534-7926|5|1968|YkyDVWN@outlook.it
KwangSoo Yang|0000-0003-4293-9908|5|1980|uZQgRzn@gmail.com
Sophie Chabridon|8359-9888-2784-3198|11|1961|sdpst@duck.com
Manish Bhide|5510-8343-4980-5957|3|1989|TQYNid@gmail.com
Jano I. van Hemert|0000-0003-0834-7079|12|1986|JDEMwvU@tiscali.it
Lasanthi Heendaliya|6870-9892-7744-9126|1|1979|ZWVAJ@duck.com
Damien Magoni|6221-1892-9560-0443|6|1975|dgheizL@mail.polimi.it
Fred Kuhns|0687-7730-1768-3102|9|1976|waxyYJ@mail.polimi.it
Walter Daelemans|4531-4607-5329-5577|8|1981|wJsWl@mail.polimi.it
Jitesh J. Thakkar|6225-0190-4175-5267|4|1967|ROydLOc@duck.com
Sheila A. McIlraith|0693-4275-6826-2971|8|1946|MtejYj@duck.com
Harrison Stratton|0945-3552-5297-5563|10|1945|YeRmjIW@duck.com
Rim Ben Messaoud|3392-8003-5669-4235|2|1947|lAslTF@gmail.com
Xianghao Yu|0000-0002-8874-8712|11|1978|vkhKXwo@gmail.com
Brijesh Kumar Chaurasia|3553-7019-0931-0894|8|1962|zuMqEI@tiscali.it
Zeynep Ozturk Yurt|4728-7173-7733-6594|8|1950|RYWTKuM@mail.polimi.it
Nancy H. F. French|7273-5442-4790-3414|2|1959|wreccb@tiscali.it
Carsten Binnig|4569-4334-3254-6022|10|1959|wwgqf@gmail.com
Jana Koehler|2130-5909-5474-0591|2|1959|lNsduo@mail.polimi.it
Wenchang Liu|0738-6758-1759-4226|4|1964|TBjqvn@mail.polimi.it
Naftaly H. Minsky|1197-7571-1890-4100|7|1972|wLGdNF@tiscali.it
Alexander E. Gegov|8866-0235-7434-9872|12|1959|CAazQ@mail.polimi.it
Peter J. Barclay|4791-5516-3789-2195|1|1983|ckCDRG@tiscali.it
K. P. Krishna Kumar|1912-3634-1660-0690|5|1977|GkbZum@tiscali.it
Xiaolei Zhang|6035-3480-8589-3689|12|1949|LjmodJ@tiscali.it
Frans Van Assche|1464-1270-0017-0465|11|1970|bmTYMX@mail.polimi.it
Giuseppe Longo|9548-4733-8010-9058|8|1989|SUEqQn@tiscali.it
Christoph Tempich|9666-2407-5982-0787|11|1969|Wqbcocs@duck.com
Massimiliano Garda|3711-9727-2263-8288|3|1980|Gvozf@duck.com
Teresa Maria Sgaramella|3454-0170-7805-6091|12|1961|CpYDsHA@mail.polimi.it
Daniel Hagimont|0278-2920-3097-9615|9|1946|YhyGxDO@duck.com
Yu Zhu|5419-1260-7722-8024|8|1980|ppHjWq@gmail.com
Denis Conan|5776-5799-0523-6836|4|1987|dNVOUj@outlook.it
Theodoros Tzouramanis|7967-6399-1780-5225|11|1983|dJovNqA@outlook.it
Abdi Ali|1054-9648-6661-7489|10|1977|yRnCNmG@gmail.com
Yun Sing Koh|0000-0001-7256-4049|5|1972|JIXgX@outlook.it
Riadh Ben Messaoud|7336-8987-2836-8597|1|1969|ipcHu@tiscali.it
Andreas Miethsam|4448-5591-1612-7144|5|1981|OwyqS@gmail.com
Pierre de Saqui-Sannes|0000-0002-1404-0148|5|1980|umNvW@mail.polimi.it
Filippo Carnovalini|0000-0002-2996-9486|11|1983|CcwJi@tiscali.it
Bastien Confais|0070-9232-5224-4400|10|1965|lXoDt@tiscali.it
Joan Torrens|0000-0002-5066-2913|12|1943|JvDywvg@mail.polimi.it
Thomas Bräunl|9922-4678-2465-5304|10|1962|xXPiqDr@duck.com
James G. Williams 0002|9714-2538-9662-0201|3|1988|JrsMZI@gmail.com
Zsófia Lendek|0000-0003-4539-7876|2|1984|PLmOK@tiscali.it
Jianhua Shao 0001|2619-0346-8238-7167|7|1957|aAHMsO@mail.polimi.it
Victor E. Lee|3436-8310-7157-0929|10|1941|lSnaft@gmail.com
Hatem Khalloof|6091-4971-5570-4262|8|1970|BGupif@tiscali.it
Alexandra Poulovassilis|8092-0862-6605-0683|3|1951|dDBjoI@tiscali.it
Indrakshi Ray|2384-0770-2423-0684|5|1961|BbjvaT@outlook.it
Desheng Wu|6954-2375-7787-9597|8|1965|EPLoXM@mail.polimi.it
Elena Paslaru Bontas|0622-6181-0336-3557|11|1961|oJTXQ@gmail.com
Mohammed Haddad 0001|9562-3222-0125-0473|12|1981|OIXBwJ@gmail.com
Shojiro Nishio|5808-9745-6863-8105|4|1962|ZGlnWL@duck.com
Alberto L. Sangiovanni-Vincentelli|1324-4513-6992-7063|2|1971|DbYXUix@tiscali.it
Yuyang Dong|1596-2829-9786-1822|3|1984|zvtZn@outlook.it
Fernando G. Lobo|0000-0002-6526-9604|8|1948|IuIOz@tiscali.it
Robert Meersman|5106-0509-9386-7104|6|1943|McYJMCt@duck.com
Patricia Melin|7519-5873-3595-3872|10|1949|wReNS@gmail.com
Dieter Hogrefe|4164-4141-3310-9879|6|1954|EiCEbmx@tiscali.it
Anna Ouzgouler|2323-6042-5905-7254|11|1968|utOnUWT@duck.com
Santosh S. Vempala|5756-4581-3681-5785|3|1962|pJBls@mail.polimi.it
Markus Holzleitner|7674-9062-1152-5329|3|1976|SHCybMx@outlook.it
Christian Schulte 0001|9282-0995-8426-6094|6|1959|mQaNEUv@duck.com
Matej Kloska|4064-2912-8612-9659|3|1986|eoNBu@duck.com
Subhamoy Maitra|6978-2892-9908-4226|8|1957|VJkDOnS@outlook.it
Wojciech Galuba|4542-6815-9339-9112|6|1959|pdMHmw@duck.com
Olfa Bouchaala|6249-6401-7469-6084|12|1950|UgptX@mail.polimi.it
Jimeng Sun|0143-9421-7929-6655|10|1969|wxWlJFP@tiscali.it
Eduard C. Dragut|5522-1851-0485-1382|4|1979|CFPAL@gmail.com
Nicolò Marchetti|6563-5262-6240-0502|3|1952|wiQfcu@outlook.it
Demetrios Zeinalipour-Yazti|7043-0009-2530-0026|3|1970|hwBQZ@mail.polimi.it
Serge Chaumette|6714-9396-3198-9688|12|1975|afmSsZe@duck.com
Stefan Rass|0000-0003-2821-2489|10|1973|IJgfK@duck.com
Roger Zimmermann|2845-3376-1627-4904|12|1984|YmNkOFV@gmail.com
Marwen Abdennebi|6642-6425-1878-2691|1|1981|wvERx@outlook.it
Gia Toan Nguyen|1308-9997-1621-1851|3|1982|XxgmOQ@mail.polimi.it
Prabal Paul|0100-7489-5201-3290|3|1943|nWXRJHh@duck.com
Panos Constantopoulos|0000-0001-6149-441X|10|1971|OMIDzM@tiscali.it
Jörg P. Müller|9515-8096-4817-2873|4|1956|YDlfpv@outlook.it
Abdullah Alsheddy|8576-1474-1074-1496|8|1978|SaRrS@mail.polimi.it
Michiel de Jong|5577-5288-1735-7500|3|1956|YxQKU@tiscali.it
Johann Eder|0000-0001-6050-468X|4|1976|dqtNVr@gmail.com
Shuai Li 0002|4544-9599-4973-9601|11|1971|FEYrX@mail.polimi.it
Jingyu Han|2410-5205-2579-8242|12|1951|wTQuE@mail.polimi.it
Anne Auger|1834-6034-7549-1383|8|1940|czHVG@duck.com
Jun Li 0008|5903-4723-4951-7197|6|1965|VsKaT@outlook.it
Mónica Jiménez|4046-2578-7521-8482|2|1971|QznUy@tiscali.it
Billel Gueni|5110-1446-3348-3321|8|1961|hCzcHbu@gmail.com
Erich Schubert|0000-0001-9143-4880|6|1988|DsqYm@tiscali.it
Sadia Alkama|0307-9162-7842-9458|1|1976|ycRqlW@mail.polimi.it
Mourad Amad|0000-0001-5242-9755|8|1968|YpkJmE@tiscali.it
Pasquale Lops|4907-3148-8509-6561|1|1974|FKuOVPf@gmail.com
Patrick Thiran|7243-9039-5947-3845|6|1965|gevRA@gmail.com
Suan Khai Chong|6136-0033-4432-2450|9|1960|TtAMU@mail.polimi.it
Zohra Bellahsene|3880-8322-0406-6347|12|1956|PMzeRQo@mail.polimi.it
Jean Frédéric Myoupo|9954-4806-3123-5638|7|1968|ZaAJSw@outlook.it
Viviane Jonckers|8487-8571-7612-8299|2|1973|Kvlrnw@mail.polimi.it
Tobias Wagner 0001|0070-3960-3260-4424|12|1977|YhYPBTO@mail.polimi.it
Mihkel Lauk|8055-1302-1496-3195|12|1971|kKLQjX@outlook.it
Nectarios Koziris|9947-5092-3585-8762|9|1989|rzivVcu@gmail.com
Sourav De|2822-7420-3986-8999|8|1945|HvEdMf@duck.com
Bo Wang 0040|6296-2003-9836-6340|6|1976|aGEzMEk@duck.com
Alan J. Dix|9040-5791-0153-6274|3|1987|VkTscu@duck.com
Theo Härder|0753-8031-1468-4214|6|1964|AhebNQ@tiscali.it
Fabio Crestani|8097-7604-4382-7193|1|1950|FjSwoAS@tiscali.it
Mario Bertero|7053-3151-1031-5119|9|1974|BeDSbo@outlook.it
Gregor Joeris|0532-8883-4497-6083|12|1962|gycCT@tiscali.it
J. Frédéric Bonnans|6898-0846-4470-7503|8|1962|eFyrxVV@tiscali.it
Maryline Laurent-Maknavicius|0000-0002-7256-3721|8|1959|SYhcung@gmail.com
Lucia Knapciková|4235-7383-0181-8419|3|1987|jsBNpA@gmail.com
Dan Russler|0166-1628-8143-2369|6|1946|JVQsXfD@mail.polimi.it
Sarmistha Neogy|3076-5118-1769-4441|11|1941|wAxzcvX@tiscali.it
Yong Yu 0001|1327-9025-0009-5783|12|1967|aQwKvVv@duck.com
Nicolas Anciaux|2447-6920-0049-7735|8|1978|mrnZPQ@tiscali.it
Marco Kuhrmann|0000-0001-6101-8931|10|1970|PkYmoy@gmail.com
James Magowan|5773-0533-6801-9905|7|1948|zuWda@duck.com
Ider Tseveendorj|6290-0433-6492-8438|6|1968|eCtEy@gmail.com
Antonin Chambolle|0000-0002-9465-4659|4|1958|iaFZZWG@gmail.com
Peng Wang 0089|8635-5333-8911-3858|1|1983|DLMfGjw@outlook.it
Maria Francesca Costabile|2016-5736-4281-6085|6|1968|CtjRN@gmail.com
Matthias Weber 0001|5664-2091-8073-5131|8|1971|fUxzEVh@outlook.it
Ruicheng Ma|6333-8827-4589-8557|8|1973|KHAZM@duck.com
Brad Long|0000-0002-4575-6165|2|1973|retcleQ@outlook.it
Mi Xiao|3622-0317-4462-1033|1|1977|rMBFdTt@tiscali.it
Lizhe Wang 0001|0000-0003-2766-0845|4|1961|gksYIw@tiscali.it
Uttama Lahiri|9106-9080-2612-4969|7|1952|HjVRCu@gmail.com
Nicolas Le Sommer|0266-6332-5675-8791|6|1942|xSqIjim@outlook.it
Seng Wai Loke|7144-2653-0996-2582|12|1981|OOVfvVC@tiscali.it
Woodrow Barfield|5435-5734-4966-5242|3|1953|gInXN@tiscali.it
Guy Tremblay|5658-7030-0010-3992|9|1965|qwqQTgf@tiscali.it
Peter F. Tropschuh|8405-9924-8079-8606|9|1985|ykDYFP@duck.com
Hans W. Nissen|9889-7192-8546-8786|2|1948|wWHfMHj@gmail.com
Claudio Pacchierotti|0000-0002-8006-9168|5|1982|CSwgeZI@gmail.com
Matthew J. Saltzman|4794-6664-4570-1491|1|1979|ocMyz@gmail.com
Alexander A. Soderlund|8460-5409-1335-9847|1|1983|SqNAIB@duck.com
Paolo Massa|9597-8713-1555-4755|5|1976|uzgdBd@mail.polimi.it
Ba-Tuong Vo|1076-7378-5502-6771|2|1956|sXQnWx@duck.com
Bernhard Rumpe|4623-6559-8413-0678|5|1963|NKVUoq@outlook.it
Paul Grace|0000-0003-2363-0630|8|1981|FrMgdfU@gmail.com
Peter A. Buhr|0223-4470-6741-6918|3|1979|zhChSa@gmail.com
Günter von Bültzingsloewen|5702-3831-0085-7549|5|1989|CnzcH@outlook.it
Ioanna Lykourentzou|1211-2936-3330-4051|8|1985|eELNvt@duck.com
Maxim Zarodnyuk|1845-4516-2614-4141|2|1949|CUISF@tiscali.it
Kishan Sudusinghe|3206-0896-3119-5814|3|1968|hIgxa@tiscali.it
Richard M. Ryan|0000-0002-2355-6154|7|1966|BIKMRD@outlook.it
Manuele Kirsch-Pinheiro|4514-9613-2332-6969|6|1974|DUZAxjL@duck.com
Yannick Fouquet|6260-3052-1799-0474|1|1982|TAvnASM@outlook.it
Giuseppe Martuscelli|5551-7545-5701-5917|8|1961|WaJIk@mail.polimi.it
Luiz Celso Gomes Jr.|0000-0002-1534-9032|1|1941|LUZqP@duck.com
Adam Wright|0427-7097-3751-2302|7|1958|AyxNHs@tiscali.it
Jereme Haack|0345-7951-5306-4329|7|1948|XYrPst@duck.com
Sami Bhiri|4551-6139-7564-7072|7|1985|zuItOKJ@outlook.it
Stephen J. Mellor|0685-5557-2530-7671|12|1977|YJiHV@gmail.com
Weiwei Cui|2953-6446-5673-0399|10|1988|QMSsLk@tiscali.it
Maurice Coyle|3738-5785-2940-8185|9|1982|WCjlB@gmail.com
Changsheng Hua|9205-0958-0047-3074|10|1945|wUqBbbr@gmail.com
Grigoris Antoniou|5561-6699-6599-6597|5|1984|BwufdGE@duck.com
Mohammad J. Rashti|5617-9516-4287-8268|3|1983|getCVl@duck.com
David Levy 0001|7453-3650-5475-2606|5|1982|XhsGU@duck.com
Fabio Salice|2360-3121-9770-9704|3|1951|yOCwz@duck.com
France Chappaz|1342-8045-5636-0299|10|1975|gjTefCe@outlook.it
Ralf Mikut|6608-9497-6956-3987|5|1963|paKWK@gmail.com
P. Krishna Reddy|0073-3584-2351-6563|11|1950|VAMgn@gmail.com
M. Mustafa Rafique|1736-4575-4445-3589|3|1989|qHMbp@tiscali.it
Dheerendra Mishra|0000-0001-8115-6397|1|1942|thZSiZ@gmail.com
Óscar Ibáñez|1461-0343-4898-2311|6|1971|GBlwN@duck.com
Tianqing Zhu|1438-2417-4627-2480|11|1952|PDoDog@duck.com
Linda Makovicka Osvaldova|8784-0336-9484-3037|4|1985|ALHKo@gmail.com
Hani Hagras|7532-4341-3484-9460|4|1986|fLtFN@duck.com
