name|orcid|month_of_birth|year_of_birth|mail|bio
Hiroyuki Kitagawa|0403-0839-4272-0872|5|1959|SoXVtq@mail.polimi.it|Great Coffee
Liz Sonenberg|6019-9641-1635-2968|10|1943|EyeJIV@mail.polimi.it|Happy Customer
Sergio Ilarri|6146-1324-9691-3925|4|1982|rOPQk@duck.com|Great Taste!
Zhenyu Chen 0001|7777-9057-4349-0174|5|1987|yUAFQDp@gmail.com|Fantastic Coffee!
Tristan Allard|0000-0002-2777-0027|10|1988|yPTrvTp@mail.polimi.it|My aunt's favorite
Vir V. Phoha|3660-0639-3546-4430|4|1980|cjkfW@duck.com|Excellent Coffee
Martin Pelikan|0896-0518-3135-9527|8|1986|YnnvdoF@gmail.com|NOT 144 PACKETS!!  ONLY 12!!!!
Eduard Siemens|2495-8044-7117-4430|11|1975|wqndN@outlook.it|Create Exquisite Cake Decorations
Carlos Queiroz|4646-3514-0614-2122|6|1961|nkQwwly@outlook.it|The Inexpensive Alternative to Gold Leaf!
Lisha Ma|7903-3889-5387-4701|12|1966|YxhKId@gmail.com|shining star
Hanane Abdeldjelil|1796-0071-3605-4485|7|1967|hrgOt@duck.com|gold dust is awesome
Simone de Lima Martins|4832-2147-7024-5059|2|1988|hQUphtv@duck.com|not edible
Athman Bouguettaya|0000-0003-1254-8092|12|1981|uQhwlcD@mail.polimi.it|It's Fast.  It's Food.
A. J. Kfoury|9776-1656-6397-1337|11|1986|HieAp@gmail.com|Not Bad
Fatimah Binta Abdullahi|6391-1624-6785-5405|6|1974|ShfHvD@gmail.com|Tasty, Quick Meal
H. Kunst|7764-0367-5687-7772|11|1945|kVZmX@outlook.it|I'm a fan
Stephen Chi-fai Chan|0000-0003-0985-1074|7|1983|ldutnak@tiscali.it|Neither great nor bad
Dieter Pfoser|6914-1250-4815-6151|11|1952|faKgcX@mail.polimi.it|Not very good
Laura Sani|0000-0002-3288-5945|6|1974|SrdsXR@outlook.it|Chicken and Rice ???
Thomas Lin|7075-8920-5662-9662|3|1986|obbpeDE@outlook.it|THICK SOUP
Gaële Simon|5763-6781-5144-8350|6|1956|eZqRADe@tiscali.it|Not a lot of flavor, not a lot of chicken
Mohsin Fayyaz|0000-0002-0477-202X|12|1957|TXirT@gmail.com|Hormel Compleats are simply wonderful
Munaga V. N. K. Prasad|9828-4082-9400-8994|10|1947|FoCka@tiscali.it|The best around
Felix Bübl|9969-4044-4015-3959|4|1980|FMMnBX@mail.polimi.it|Okay price, fast easy meals
Marco Roccetti|6190-6387-9772-5315|11|1978|XwNUU@outlook.it|Good
Mariama Diallo|2809-4224-2227-8363|5|1973|VXmEq@outlook.it|A Good Choice
Rajneesh Kumar Srivastava|9174-2819-1585-0135|4|1956|iAZElq@duck.com|fantastic  hot meal
Hubert Naacke|4055-6987-0340-6880|2|1940|NsIyPG@mail.polimi.it|Chicken noodle
Ippokratis Pandis|4635-3150-8390-1592|12|1989|FEFIbl@mail.polimi.it|not good
Chris D. Paice|2880-9643-0577-0175|5|1942|gBJaTw@duck.com|So far, Donut Shop Classics are the best pods I've tried
Ben Adida|2369-1040-6887-9008|2|1942|WruEyE@mail.polimi.it|Restaurant taste at home
Sibel Adali|3208-4636-0426-4454|6|1945|qNfCHGo@duck.com|Yum
Kenichi Wada|9215-4833-4490-0515|11|1969|uEanl@duck.com|YUM YUM!
Juraj Micek|3018-6110-7036-4807|8|1966|WwTbq@duck.com|why is this soup/entree so unpopular????
Stefan Schaden|5083-7758-0679-7479|3|1956|SErzn@mail.polimi.it|One of my favorites
Trevor J. M. Bench-Capon|9835-4468-8402-3562|9|1970|NoscH@tiscali.it|LOVE THIS!
Ha Manh Tran|0000-0003-4653-828X|11|1950|NWTjnS@outlook.it|Quick, easy and tasty!
Nayana Prakash|9181-7758-9305-3334|7|1986|gqaNG@outlook.it|Yum!
Wolfgang Wahlster|1735-3042-7123-2598|8|1951|yFloIwW@duck.com|Love it.
Goce Trajcevski|6097-0946-0234-6025|10|1975|LUczuJj@duck.com|It's OK
Mariam Nouh|7341-2043-1803-2639|1|1983|lcTbaMC@gmail.com|Bent in Delivery
Yutaka Matsushita|1797-5936-3155-5982|5|1950|oPIFBpQ@mail.polimi.it|Great for a healthy, hot, great-tasting vegan meal on the go!
Ermanno Pietrosemoli|9431-9204-5401-3613|7|1942|KXPpO@outlook.it|Glorified Cup of Noodles
Ke Yan|7677-9948-7389-9715|3|1942|KWeDO@tiscali.it|not bad but not too much flavor
Yuji Yoshimura|2108-3022-4523-9168|1|1966|QlGdzQe@mail.polimi.it|Noodles not good
Subhas Barman|6421-4420-9672-4858|7|1943|wswVhH@duck.com|HORRIBLE.
Yamine Aït Ameur|7288-5171-8964-4747|9|1970|EFhSYi@mail.polimi.it|Delicious
Silvia M. Müller|4107-8543-5105-6100|7|1945|NIzTFK@tiscali.it|Great
Ademir Pasalic|3858-2856-1180-1481|3|1983|nVkhjSr@duck.com|juicy jays
Philipp Berger 0001|0935-3711-1413-6845|3|1953|OIPNgu@gmail.com|Love the soup
Jun Huang|7760-7118-2471-6201|10|1965|zcIVHJ@mail.polimi.it|weak coffee not good for a premium product and price
Dimitrios-Emmanuel Spanos|0000-0001-9446-9499|3|1985|SAvHj@outlook.it|Lindt Pistachio Chocolate
Deniz Özenli|1986-6907-9343-5752|3|1961|ABNZU@outlook.it|Best of the canned tomatoes
Benjamin Herd|1799-4244-7511-0081|2|1947|Akdtb@outlook.it|Best sauce tomato (canned or fresh) period
Mark Billinghurst|0000-0003-4172-6759|4|1983|CJOem@mail.polimi.it|Margherita Pizza
Anupam Joshi|0000-0002-8641-3193|1|1958|IDgdkqc@tiscali.it|We couldn't tell the difference in a blind taste test.
Richard Castanet|3691-6174-9659-6498|6|1964|oJKfq@duck.com|Applesauce Spice Cake
Thomas Bartz-Beielstein|0000-0002-5938-5158|9|1953|jDpGzMB@mail.polimi.it|Can this really be gluten free?
Stewart Shen|7082-2585-8660-4213|4|1962|XkEbC@duck.com|Smells Great
Inès El Korbi|9967-7462-3198-2382|4|1972|vvbRVf@duck.com|Delicious black jelly beans
Nicolai Foldager|6433-5268-3484-8949|9|1971|ypRxffX@mail.polimi.it|Fantastic!
Paulo J. G. Lisboa|1868-6923-8854-6262|3|1940|BfrDb@mail.polimi.it|BEST Licorice Jelly Beans EVER!
Sabina Surdu|6430-5798-3655-0696|4|1942|HwPvVn@duck.com|I never got it
Thomas Rose 0001|5851-3794-0872-3893|4|1961|AVFmO@outlook.it|Scrumptious
Su-Jin Lee|4509-5486-2585-9457|5|1945|NHkGTQb@gmail.com|makes nasty loose poo!
Shashank Shekhar 0001|5328-6031-1290-5489|10|1954|JimmvC@tiscali.it|Very good.
Donghui Zhang|6560-2440-3339-7070|2|1960|fWgpec@duck.com|Da Vinci sugar free Blueberry syrup
Michael Bruns|5748-4875-0758-7574|4|1968|HugCnn@mail.polimi.it|Just OK
Noemi de La Rocque Rodriguez|6092-3718-9931-8386|6|1963|SojfJ@gmail.com|Prefer the whole slices
Ramon Salvador Valles|5572-4515-2896-8761|4|1954|ivScx@gmail.com|Nice to have in the pantry
James E. McDonough|2453-4261-5611-3258|12|1965|KqvrK@mail.polimi.it|Detailed reply from company over infant feeding and DHA/ARA
Mustapha Lalam|3573-7695-7231-8084|1|1984|mFFbY@duck.com|Colic/acid reflux babies...try this!
Ethan Zhang|3725-9771-0321-6730|10|1953|cksJJ@gmail.com|A Great Product!!!
Yun Yang|0651-4456-9986-3475|11|1940|dMXqaX@outlook.it|BUY ELSEWHERE
Lawrence Chung|7388-3304-3452-9517|1|1954|ineMkfK@tiscali.it|Best Organic milk out there..my baby switched from Similac Soy
Kolja Blohm|8668-1015-9449-2398|3|1943|IWFZEo@tiscali.it|We are a fan
Qi Xuan|7180-5745-8998-6065|1|1961|bobbWs@gmail.com|Absolutely awesome!
Spiros Papadimitriou|9838-9240-2828-3285|5|1978|ymbhWtj@tiscali.it|Pasta Lovers Dream
Jon Jacobsen|2819-5184-3330-4520|6|1961|shWEe@outlook.it|Good!
Juan Manuel Santos|0000-0002-2930-4249|2|1972|YntWPQ@duck.com|great calorie cutter
Martin Raussen|0000-0003-4812-8532|5|1982|APWwyJb@mail.polimi.it|Real Pasta With Half the Calories and Most of the Taste!
Paolo Atzeni|0000-0003-1513-4725|8|1988|CHugV@mail.polimi.it|Great Pasta
Ján Janech|1889-4843-8581-4115|7|1949|QLLkeJ@duck.com|Fabulous!
James L. Chen|8313-7351-6190-9860|5|1970|QsGQJ@tiscali.it|FiberGourmet light penne
Anis Yazidi|0447-4444-9167-8978|6|1971|FRWmHXO@mail.polimi.it|Italian Born Pasta Lover Gives This 5 Stars!
Luis-Daniel Ibáñez|3585-6031-5483-1247|4|1979|MNcnp@tiscali.it|FANTASTIC
José L. Abellán|8779-5710-4259-7276|6|1966|GYSmtTk@gmail.com|Fabulous product
Thanh Binh Nguyen 0004|0000-0003-0136-874X|7|1957|rEEBB@outlook.it|Pasta
Vahid Rafe|3073-9008-9012-6481|6|1949|sDxdw@outlook.it|I thought it was exceptional
Elisabeth Kapsammer|5008-3989-5520-5893|3|1974|KMvGh@outlook.it|FiberGourmet Light Penne, 8-Ounce Boxes (Pack of 6)
Pilar Herrero|3910-2614-5746-8715|11|1979|GSnne@gmail.com|I will never go back to Senseo pods as long as these are available.
Marwan Almaymoni|3634-6959-7896-3484|10|1957|iikrpE@gmail.com|Disgusting
Min Song 0001|0000-0003-3255-1600|6|1974|kuEZQnc@outlook.it|Big pods, great value, delicious decaf coffee!
Paolo Coletta|0216-5168-3331-9583|6|1974|XRBgJBM@mail.polimi.it|These are absolutely revolting
Peng Shi 0001|0162-6743-8270-7506|2|1946|iqaeY@gmail.com|Nice strength, maybe too much vanilla?
Alessia Angeli|0000-0002-3572-2076|8|1951|lPNEJI@mail.polimi.it|Rich and Flavorful.
Rainer Knauf|4938-3295-1459-2367|11|1975|IOkZWY@outlook.it|Great taste!
Mauricio G. C. Resende|8233-2723-8417-7376|2|1963|ZObVP@mail.polimi.it|Great dessert
Georges Chappaz|9674-3282-9531-0600|12|1945|tJlixL@outlook.it|Pudding
Leela Damodaran|4958-8300-3436-6087|10|1981|rZdlhS@outlook.it|cook & serve choc. fudge pudding
Matteo Ciman|2159-1597-6569-3069|12|1947|BcREL@duck.com|Quick, Easy and Delicious
Remco Chang|0000-0002-6484-6430|7|1975|Iaoioyo@tiscali.it|easy to make also
Michel Métivier|1139-9193-0677-6598|1|1964|hcFduW@mail.polimi.it|BEST MUFFINS IN THE WORLD !!!
K. C. Santosh|4121-2099-3757-2032|1|1948|NstcFDS@gmail.com|Martha White Chocolate Chocolate Chip Muffin Mix
Viera Rozinajová|1809-5896-6253-7785|5|1960|gyHrRnK@tiscali.it|Worst cookies ever!!!!!
Banu Aysolmaz|7492-3723-7715-2256|2|1944|mjTAt@outlook.it|Love it!!
Pierre Livet|2149-1362-4937-0400|7|1986|mstwy@mail.polimi.it|Good but way too expensive
Thomas Stützle|1795-4743-5130-1448|10|1945|FchUY@outlook.it|Not bad, but it really is just a taste of thai
Matteo Carisi|3839-7224-0286-5430|8|1974|BeziyqS@duck.com|Good flavor but...
Fredrick J. Hill|1259-9371-6731-9403|6|1970|eRCSp@mail.polimi.it|artificial flavor
Samit Roy|5869-3713-0679-8018|12|1969|lZJWAYD@outlook.it|Needs a little something
Yuhua Luo|3866-9327-7617-5109|2|1988|DJuYhz@gmail.com|Really good!
Bruno Siciliano|6046-7589-6304-0359|2|1976|IRCvQ@tiscali.it|Not so much...
Stephan Paukner|6745-1135-5602-2946|5|1947|rQRHYEp@gmail.com|More than just a taste of Thai
Dan Corbett|0184-0210-1938-0457|5|1969|QwFiHk@gmail.com|Taste of Thai Coconut Ginger soup
Giacomo Indiveri|5631-1100-8896-1281|11|1957|QMHoC@tiscali.it|Delicious!
Jan Vitek|8951-9320-3776-2477|1|1982|cjTjWn@duck.com|OKAY IN A PINCH...
Kevin Brewer|8348-5548-0750-4407|6|1982|jmYaa@gmail.com|Now containing gluten!
Massih-Reza Amini|4800-4346-6491-9366|2|1960|zDvgYbg@duck.com|not bad, but I won't reorder
Vance Maverick|5104-4769-8442-5536|1|1955|fHqSS@gmail.com|Great gluten free quick fix meal
Peter J. Richerson|5330-5704-8051-6803|6|1954|xuTxEX@duck.com|Easy and delicious
Roy Friedman|9539-3057-5101-9037|1|1987|acZto@tiscali.it|Gluten free goodness
Ismael Bouassida Rodriguez|7255-0407-6497-3842|6|1941|gikjw@gmail.com|Tasty and Easy
Stefano Stramigioli|0000-0001-8212-7387|9|1945|XBPupCD@gmail.com|Quick, Yummy, Unusual Soup
Giorgio Leonardi|4035-2047-2461-3760|9|1943|rQFIlls@tiscali.it|Eh...
Chao Yang 0001|3592-9058-2654-8541|10|1987|vXnezc@gmail.com|Horrible smell
Allan Axelrod|9445-2997-4501-3008|4|1971|ZeVRRCf@tiscali.it|For $2.00 a box it's okay
Carole Siani|4693-4255-7649-1429|4|1970|mEsdO@gmail.com|Tasteless mess
Samuel H. Fuller|8775-7050-6213-0308|1|1962|pvLhc@mail.polimi.it|Yum!
Maria Olivares|9575-4826-2468-7750|1|1957|jNmJgF@duck.com|tasty and so easy
Luca Minardi|9550-1910-3213-9253|9|1949|FJHIy@gmail.com|Hot Hot Hot
Xin Luna Dong|4978-0205-1130-1577|2|1954|ajFmK@mail.polimi.it|Very Good Thai Green Curry!!!
Yangjun Chen|0158-3470-2317-1201|4|1967|FwcYP@mail.polimi.it|Curry Paste
Yaqi Zhang|3528-1292-9070-4524|2|1988|lRKqWV@tiscali.it|Tons of flavor, very spicy, excellent.
Alain Bui|2766-6481-8016-0548|3|1956|qIofv@mail.polimi.it|House Blend is good coffee
Madhusudhan Govindaraju|1269-2464-3982-4031|3|1946|tbokM@gmail.com|my order
Thomas Gschwind|5514-4997-1345-1938|5|1976|SpPUyo@outlook.it|DELICIOUS!
Christopher Doble|1014-8083-5532-9868|2|1957|XNYLRn@duck.com|Soooooo good!!!
Simon R. Arridge|0000-0003-1292-0210|6|1944|KwqqXyd@mail.polimi.it|New Favorite
Rangareddy Jayashree|2870-9332-4198-5046|1|1940|TyYZPSx@duck.com|Nice tea...very strong cranberry flavor
Daoud Berkani|2111-8040-5048-2848|11|1948|BGKyDeL@tiscali.it|Best Tea Ever
Vincent Gramoli|4192-3784-0628-1586|3|1949|FJnJk@gmail.com|Delicious!
Jackie Chen|4822-7036-5245-6422|10|1963|FyxDX@outlook.it|Delicious Cup o' Tea
Henrique Cesar Carvalho de Resende|5697-7410-0936-9243|8|1989|pGEdv@tiscali.it|product is great price is insane
Chenjuan Guo|0545-9628-8958-5500|1|1948|xLwgCdc@duck.com|Jittery, lacks body
Shariq Bashir|0000-0002-0789-4962|10|1951|xRvFj@mail.polimi.it|High Quality My Dog Enjoys and My Budget Does Too!
Michael Wolber|8151-6640-6839-8803|6|1944|dPjoyG@gmail.com|This is great dog food!
Michele Tomaiuolo|3907-3776-2067-5878|7|1962|AlfPP@outlook.it|I would give Harmony Farms extra stars if I could!
Nanxing Chen|7500-9667-2481-7724|5|1949|aMIiyZS@tiscali.it|Awesome!
Patrick Lambrix|0000-0002-9084-0470|4|1975|TadEUs@mail.polimi.it|Quality dog food delivered to your door!
Moncef Temani|8115-9032-9473-9665|4|1971|ePiRbKI@duck.com|Didn't do well for my dog
Lorenzo Gabrielli|7254-5690-2846-7072|1|1955|aZfuW@duck.com|The Cat likes it, too!
Alexander Amini|3110-2322-2772-2737|11|1966|tGtVQ@gmail.com|My fussy Min. Dachshund loves the taste!
Gérard Della Ragione|0218-7580-6380-3077|1|1953|RjlzvyC@mail.polimi.it|My dogs love it!!!
Lydia Y. Chen|1061-0165-4474-8788|2|1952|bUuQyC@outlook.it|Passed the taste test!
Sung Hoon Lim|0000-0001-9534-7397|5|1978|zfbvo@duck.com|Our ten year old doxie
Choong-Seock Chang|0000-0002-3346-5731|1|1956|KFGkd@gmail.com|Excellent for Wheaten Terrier's Sensitive Tummies!
Dan Istrate|0643-4228-6735-1198|3|1942|ajgyhOU@mail.polimi.it|My dog now sheds less!
Mahdi Ben Alaya|7771-1807-0708-3195|9|1966|KzjqY@tiscali.it|My Dogs Love It
Gabriela Ruberg|7508-3585-0265-3191|4|1973|QbOjC@mail.polimi.it|Very Good
Sébastien Salva|3105-2955-8835-0981|2|1976|kkUYW@gmail.com|Good Dog Food
Jan Chudzikiewicz|0633-3177-5784-4163|10|1940|kvJDvPx@duck.com|Hard to find locally
Luís Veiga|7965-6177-3048-0549|4|1969|vNQbGW@mail.polimi.it|Good product:
Erik de Romph|4572-1519-5211-3991|4|1961|ZdAIAs@duck.com|My dog loves this dog food.
Kofi Kissi Dompere|7456-3303-2220-7122|8|1946|WITFCCx@mail.polimi.it|Harmony Farms Review
Christie I. Ezeife|5990-0401-0302-2723|7|1970|XrvPrH@gmail.com|Both formulas are excellent for my dogs!
Julien Signoles|7172-1908-8587-9174|5|1962|yNuQG@duck.com|Fabulous food!
Bernard P. Serpette|8047-4926-9914-8958|9|1956|htwrulk@mail.polimi.it|Great Dog Food
Stephan Grimm|9623-8737-7457-3541|5|1973|roAdq@mail.polimi.it|Great dog food!
Henry Leung|0176-6837-5861-9468|5|1943|ZytNTrG@gmail.com|Dog Likes It, Great Value
Adlen Ksentini|5094-4693-5875-4807|2|1962|eclJEt@mail.polimi.it|Delighted with Amazon.com
Mario J. Pérez-Jiménez|0000-0002-5055-0102|12|1982|BMlLnJw@outlook.it|Great Dog Food :O)
Alberto Ferrari|0000-0003-2054-741X|10|1951|zDcBG@tiscali.it|The best food for dogs!
Maria Leitner|3804-5232-6985-3864|3|1972|egXYQEs@duck.com|Solved 2 different digestive issues for 2 different dogs!
Mohamad Nizam Bin Ayub|0000-0003-2504-0810|3|1977|WtybsL@outlook.it|No good . . .
Tino Weinkauf|4457-7820-3906-1336|8|1951|bNzYSk@mail.polimi.it|yummy
Shunichiro Nakamura|2903-5215-0399-0230|8|1975|KFCtQ@mail.polimi.it|Great Item
Eric D. Kameni|9524-8301-5437-1649|1|1971|nkGRXC@outlook.it|Excellent chips
The Nhan Luong|8622-9054-2177-0182|10|1961|dEqkL@outlook.it|Perfect for WW followers
Christian Toinard|8257-6741-6381-1061|2|1983|WyJFu@duck.com|Variety pack, packed lunches
Robert Piloty|5194-9144-1850-8281|3|1967|wOxExo@duck.com|Loved all the flavor except salt and pepper!
Mauricio Marín|9964-8220-0767-3484|11|1978|NZSBi@mail.polimi.it|chips
Jean-Claude Franchitti|5395-4570-9475-9075|5|1942|vPLgqN@duck.com|Good as a sampler pack of the various flavors
Jean-Marie Souriau|0889-8482-1997-8640|5|1957|yzVbuE@mail.polimi.it|These tastes pretty good
Caroline Matheson|6714-9286-0418-9503|11|1972|KltCKZy@outlook.it|Didn't care for the variety selections
Jc Fowles|4045-7567-3385-7437|2|1985|xfLJOu@outlook.it|BEWARE! THESE ARE ADDICTING!
Sergei Borzunov|0000-0002-5099-9655|8|1948|LxHwjg@outlook.it|Yum yum love me POP Chips
Alexander M. Bronstein|2665-0485-7177-5800|11|1953|PGtDZY@mail.polimi.it|Can't beat the taste.
Ralf Dömges|8223-5657-8600-6285|11|1972|uWESX@outlook.it|Great chips - and tasty too
Jinjun Chen|9968-6901-9443-8749|6|1988|fSiPil@outlook.it|Delicious alternative to greasy traditional chips!
Christoph Knieke|1183-6584-4374-7209|8|1973|nOoKWw@mail.polimi.it|Great snacking alternative!
Francisco Herrera|3191-1362-5549-9567|7|1981|sveSqw@duck.com|Great Gluten-free snack and healthy
Stephen C. Pratt|0658-8656-7986-7596|2|1973|neWXx@mail.polimi.it|I like all but one
Priit Raspel|6980-3094-7559-3641|2|1973|tTUXqEZ@gmail.com|Pop Chips
Hannes P. Lubich|0276-6651-0190-1227|1|1952|cjVCu@gmail.com|Yummy Yummies
Meisong Wang|1267-9986-8453-0447|5|1959|mhPfWX@mail.polimi.it|Great tasting chips alternative
Hajo A. Reijers|9302-6904-2914-2832|6|1952|bXVwCzG@outlook.it|Mmm-Mmm-Mmm!!!
Shahadat Khan|3762-1322-0281-8066|4|1948|aHHEoQ@duck.com|Better than expected
Federica Mandreoli|0000-0002-8043-8787|3|1950|FhquGRl@duck.com|Great Snack!
Romina Gaburro|0000-0002-6186-0712|6|1955|PqKmrNL@gmail.com|pretty good. not healthy like an apple but...
Habib Ounelli|3552-6061-8305-0002|5|1946|PtHltF@tiscali.it|Pop0chips
Rafik A. Aliev|7481-4938-6861-6568|11|1987|DsIge@tiscali.it|Love them!
Hoong Chieh Yeong|7766-1767-2509-8514|2|1947|YjCmMB@tiscali.it|Great product and at a great price
A. H. S. Loh|3727-6268-0106-3659|9|1988|usVGz@gmail.com|Popchips Review
Erik Saule|7170-1340-5516-0761|12|1972|LskGl@outlook.it|Don't Defeat the Purpose by Eating Two Bags at Once!
Judith S. Rodríguez|4566-1549-1052-3230|12|1986|bESMg@mail.polimi.it|Great for diet
Basant Agarwal|0995-8643-5606-3079|3|1988|XlAfF@mail.polimi.it|Best Chips Ever
Bernhard Mitschang|8925-8858-2792-5490|6|1945|zfZCab@gmail.com|Pop Chips
Linda J. Larson-Prior|7809-1975-6815-4511|9|1947|pmZeaQY@duck.com|A yummy alternative to high-fat chips!
Valerio Ghirimoldi|6596-6399-0454-7800|1|1987|aqzHVp@tiscali.it|yummy popchips
Ralf Mindermann|8912-5845-7320-1508|3|1967|uaylEYM@outlook.it|Taste yummy but watch out for yeast extract intolerance!
Zahra Abbasi|5330-4179-7070-2965|1|1950|aHxBJ@duck.com|Love Pop Chips!
Kamal Elyaalaoui|0000-0002-6755-3588|10|1980|ZSAfu@mail.polimi.it|Pop Crisps
Giovanni Ramponi|3730-9349-8505-6343|3|1958|kCtHuzi@mail.polimi.it|GREAT PRODUCT!
Christopher P. Wadsworth|3277-9749-0224-0841|10|1987|BfAYZkY@mail.polimi.it|Did not care for these. Only liked bbq. Wondering why these are best-sellers
Ahmad Alhindi|0000-0002-0516-7868|1|1972|QEojtP@tiscali.it|OMG!  So delicious
Md. Asif Sarfaraj|3478-9062-0037-0357|12|1955|mTPbqx@gmail.com|great chips
Paola Festa|3405-5982-6824-7769|3|1968|mRXXfz@duck.com|Great product
Caroline Ziemkiewicz|6979-9256-9883-5763|3|1964|VNhXi@tiscali.it|they grow on you!
Johann K. Obermaier|1553-6849-8875-2521|2|1944|RCQZdA@outlook.it|Yummy:)
Sonia Montemurro|0000-0002-8752-0978|1|1978|gBzdI@outlook.it|Best chips!
Dimitris Kotzinos|9203-0497-3618-0537|11|1971|ZoBOE@duck.com|Perfect Pop Chips
Marc Bui|3606-4692-5984-5763|8|1950|sDyHF@tiscali.it|Just my 2 cents...
Rômulo Silva de Oliveira|0000-0002-8853-9021|10|1971|cTMkTAU@tiscali.it|Quite delicious but not as good as real chips
Isam Mashhour Al Jawarneh|0000-0002-4796-2181|2|1940|zIIpawx@outlook.it|Interesting... however I've found something else...
Yew-Kwong Woon|2065-3745-5240-5751|6|1963|uHIBBm@mail.polimi.it|Love These Chips
Paavo Arvola|0000-0001-7209-8033|5|1972|sDKpDxY@gmail.com|tast great less lard.
Venkateswaran P. Krishnan|5309-7484-2340-2538|1|1977|gCnjK@duck.com|OMG!!!! The Best Snack Ever!!!
Huaigu Wu|5318-9478-9424-3036|7|1942|DCvdq@duck.com|Great price; Great taste;
Navid Shaghaghi|0000-0002-7142-827X|9|1989|AEITAWO@gmail.com|yum
Xin Jin|6414-2690-1115-6202|3|1951|IYCwe@gmail.com|O. M. G. These ROCK!
Gaurav Naik|8730-4919-4268-5570|3|1943|PzhHjjQ@duck.com|Popchips
Nabil Ajam|8644-7420-8667-9907|5|1949|JIuMk@gmail.com|The Snacker
Alexander Borgida|0109-0941-5740-8035|10|1963|XkWKh@duck.com|loooooooove them
Ibrahim Abu El-Khair|6422-7398-3998-4517|12|1948|DxqPFtJ@outlook.it|Pop chips are the best!!!!
Daniel C. Russler|1396-5783-7489-7513|5|1942|CIvkXfA@gmail.com|Great and unique chips!
Michel Simatic|6049-7046-3798-8773|1|1964|NnmfL@tiscali.it|"Some are REALLY tasty, others a little ""chemical"" tasting"
Rubén Ruiz|0000-0003-3295-3888|8|1989|dTkGrW@tiscali.it|Tasty!
Youssef Elfoutayeni|1098-4854-1551-5487|6|1948|EQtbh@tiscali.it|Topchips!
Johann Oberleitner|3800-1254-8001-1225|5|1946|CuAsYH@duck.com|Yummy!
Bernd Reiner|7037-7901-3420-8792|9|1972|mhOAVa@tiscali.it|Too salty
Nabila Berkani|9602-4538-3756-3751|4|1943|HFzOVYx@outlook.it|I LOVE POPCHIPS!!!
Ana Pradera|6958-0658-0502-2793|5|1968|GqMhVEC@gmail.com|Awesome Snack
Pere A. Palmer|3054-9456-2782-8699|10|1951|yQWxR@duck.com|YUM
V. S. Subrahmanian|8138-8464-8539-1161|12|1989|SfGPmh@duck.com|Loved the chips
Vânia Guimarães|0000-0001-8133-0789|8|1942|OiqiAFf@duck.com|Gotta Love Em
Sebastiaan J. van Zelst|3585-5189-3543-2126|3|1945|rPMDqmQ@tiscali.it|Popchips
Marek Prochazka|0919-9792-9639-6648|4|1964|hJxWGUP@outlook.it|Fun Game
Kenneth Sörensen|0000-0003-1429-2836|10|1958|BUeevdq@gmail.com|Yum
Harald C. Gall|0000-0002-3874-5628|4|1950|InJjrCP@outlook.it|Love these!
Catriel Beeri|4956-4356-3688-9712|8|1977|VwmRVaO@outlook.it|Healthy and Tasty
Noelle Rousselle|2549-2187-5889-8812|2|1967|qgKvp@duck.com|POP Chips on the go
Amira Ben Hamida|0656-1242-2892-2956|5|1964|yztYpg@mail.polimi.it|Popchips - Love !
Nikolaos Vassilakis|4505-0107-6816-0189|11|1952|DGNon@outlook.it|Great Snack!
MagdiSadek Mahmoud|9040-8294-5438-5519|4|1962|rxOsQz@duck.com|Popchips  variety box
Antônio José da Silva Neto|0000-0002-9616-6093|6|1971|XcnAo@duck.com|Pop Chips Rule
Iqbal Ahmed|2956-5421-8212-4814|4|1958|yWWNuwm@outlook.it|Pop Chips 6 flavor Variety Pack
Phan Minh Dung|9949-4748-2934-7922|5|1984|IhNOd@tiscali.it|Pop chips...love them!
Veit Hagenmeyer|7166-6008-5887-8419|8|1980|NUMUISj@outlook.it|THOUGHTS ON PRODUCT
Hsu-Shih Shih|8526-8357-6892-3421|6|1984|MXbtTd@outlook.it|Love Love Love
Emiliano Iuliano|0000-0003-4985-2792|2|1971|RvTwJ@outlook.it|Delicious!
Arthur H. M. ter Hofstede|0000-0002-2730-0201|9|1954|FZNKFSq@tiscali.it|Popchips Satisfy my Salt and Crunch Craving
Rodrigo Bonacin|0000-0003-3441-0887|9|1980|DFaaF@tiscali.it|YUM!
Salome Oniani|5438-5249-2161-9410|11|1944|MVCMu@mail.polimi.it|Very happy!
Alberto Fernández 0001|3933-0804-7011-8970|8|1958|OaCrc@outlook.it|Awesome Product
Mirella M. Moro|1469-2479-2947-3183|4|1970|vgmWZ@gmail.com|Great Alternative to Fried
Matthias Kunze 0001|6947-8817-4505-8105|7|1986|PIsAgiC@mail.polimi.it|Delicious!
Georg Rehm|1346-1619-5312-6131|12|1957|teCrP@tiscali.it|Yummy, healthy snack!
Jörg Hoffmann 0001|1249-1188-8958-5981|5|1964|DRfjPE@outlook.it|Popchips are wonderfully tasty
Raymond T. Ng|3709-2897-5784-6899|3|1978|PvKGqZ@duck.com|PopChips Are The Best!!
Salma Ben Sassi|2496-4629-5835-4323|1|1967|fZGNvP@outlook.it|Delish
Miodrag Raskovic|5871-9935-9898-6643|7|1958|zGLKzC@mail.polimi.it|Different and yummy!
Luca Spalazzi|2474-2840-8711-5761|7|1960|oaCadpX@duck.com|Loved these chips!
